timeCo2;ppm
445000;200.3736059
446000;200.411651
447000;201.6381635
448000;203.266096
449000;204.4720805
450000;204.2223013
451000;203.1094066
452000;202.6892164
453000;202.3475656
454000;200.6669338
455000;197.8967958
456000;196.2940825
457000;197.8690568
458000;200.8553289
459000;202.8744611
460000;202.2689974
461000;198.612624
462000;195.1307345
463000;195.451332
464000;199.4709237
465000;203.6213049
466000;205.9643888
467000;206.2419923
468000;205.3221194
469000;205.8914562
470000;209.6227967
471000;216.3166225
472000;225.3760435
473000;234.174658
474000;239.393869
475000;239.7499714
476000;236.8654225
477000;235.1786162
478000;234.8606404
479000;232.6477423
480000;228.67095
481000;225.1365062
482000;224.3498491
483000;226.4265243
484000;229.1017764
485000;230.9539606
486000;232.0532032
487000;233.4006663
488000;236.5671805
489000;241.1491859
490000;244.2745352
491000;245.1735843
492000;244.4463776
493000;242.5602558
494000;240.3811993
495000;238.8553304
496000;237.8427521
497000;236.686836
498000;234.9594115
499000;232.8124691
5.00E+05;231.0516205
501000;230.3231091
502000;230.6591089
503000;231.5413131
504000;232.5377216
505000;233.5846451
506000;234.7083258
507000;235.910109
508000;236.9704998
509000;237.4436341
510000;237.0073485
511000;236.4124352
512000;236.9431533
513000;238.3075819
514000;239.4435452
515000;240.6850515
516000;242.6492606
517000;244.612794
518000;245.6507746
519000;245.9292321
520000;245.8667295
521000;245.3400729
522000;244.0262821
523000;241.170874
524000;238.4323957
525000;236.1280504
526000;233.4319907
527000;230.2874637
528000;227.0870392
529000;224.2590823
530000;221.8811645
531000;219.1215668
532000;214.8244465
533000;209.0044012
534000;202.5462338
535000;197.7278321
536000;196.4842026
537000;198.5308695
538000;202.2620896
539000;205.8329667
540000;208.6878872
541000;209.8512285
542000;208.5543071
543000;206.5502978
544000;206.3091924
545000;207.7537999
546000;209.0041576
547000;208.9449914
548000;207.7637366
549000;207.3678354
550000;209.5296634
551000;214.0191022
552000;218.9750394
553000;221.7363025
554000;223.3184905
555000;227.1596195
556000;234.820362
557000;240.5185232
558000;241.3708948
559000;238.1097141
560000;233.7330417
561000;232.2813009
562000;234.554945
563000;239.0960365
564000;244.3425169
565000;248.8493479
566000;251.741554
567000;253.0070751
568000;253.0283726
569000;252.2583689
570000;251.406728
571000;250.7498827
572000;249.9996375
573000;249.5265161
574000;249.9545283
575000;250.8118116
576000;251.3489326
577000;251.3755945
578000;250.566483
579000;247.8495203
580000;242.1248361
581000;233.7689715
582000;224.1602332
583000;216.1228492
584000;212.044256
585000;214.5925727
586000;224.9638137
587000;231.2313233
588000;236.8961476
589000;242.0930893
590000;243.5696305
591000;240.093034
592000;234.2702339
593000;232.4435042
594000;233.3239754
595000;231.6722472
596000;226.3217218
597000;221.3113299
598000;220.5187641
599000;223.3002021
6.00E+05;227.1829568
601000;231.2680688
602000;234.9879692
603000;237.8184401
604000;240.3507747
605000;243.3550668
606000;246.7596237
607000;250.4846322
608000;254.2566773
609000;257.0009009
610000;258.1466819
611000;258.3861243
612000;258.2559575
613000;257.4546313
614000;255.6886551
615000;253.8805336
616000;252.9736659
617000;252.3957385
618000;251.0736592
619000;248.7804171
620000;246.5024682
621000;244.4551276
622000;242.6839234
623000;241.0415409
624000;238.2980655
625000;233.5254968
626000;226.755959
627000;217.8368742
628000;208.7698775
629000;203.6224166
630000;201.9871573
631000;200.6565203
632000;198.5446305
633000;196.2393971
634000;194.9343139
635000;194.753735
636000;194.7008476
637000;194.414239
638000;193.2417288
639000;191.1389697
640000;190.1641501
641000;190.5612067
642000;191.4444835
643000;192.5463266
644000;193.8428809
645000;193.970861
646000;192.7968143
647000;192.2175139
648000;192.9444335
649000;193.2926639
650000;192.3344826
651000;190.7519211
652000;189.6141997
653000;190.4315493
654000;193.2872064
655000;196.0762278
656000;195.9183943
657000;192.8340641
658000;189.6373603
659000;187.9838854
660000;188.6302995
661000;190.3686244
662000;191.2441541
663000;190.888488
664000;189.1262856
665000;185.5814185
666000;180.8797401
667000;177.7290231
668000;178.6762333
669000;183.1473571
670000;188.7044526
671000;193.0489531
672000;196.0053452
673000;199.5485338
674000;204.8430113
675000;210.7811335
676000;216.0570483
677000;219.0776041
678000;221.3977785
679000;225.2830347
680000;228.446114
681000;228.1109289
682000;225.1263098
683000;222.8382005
684000;222.5351127
